Supplier,Domain,Product,Catalog #,Type,Band #,MW (kDa),Total Bands,Display Color,Color Hex,Relative Intensity,Reference Band,GenePad Ladder ID,Product URL,PDF
Accuris,accuris-usa.com,SmartCheck™ Tri-Color Extended Range Plus Protein Marker,PR5013-TC (2 × 250 µl),"Prestained, three-color (Tri-Color)",1,3.5,13,unknown,,,,,https://accuris-usa.com/Products/smartcheck-protein-markers/,"Accuris_PR5000TC_Manual.pdf, Accuris_PR5000_series_Brochure.pdf"
Accuris,accuris-usa.com,SmartCheck™ Tri-Color Extended Range Plus Protein Marker,PR5013-TC (2 × 250 µl),"Prestained, three-color (Tri-Color)",2,5,13,unknown,,,,,https://accuris-usa.com/Products/smartcheck-protein-markers/,"Accuris_PR5000TC_Manual.pdf, Accuris_PR5000_series_Brochure.pdf"
Accuris,accuris-usa.com,SmartCheck™ Tri-Color Extended Range Plus Protein Marker,PR5013-TC (2 × 250 µl),"Prestained, three-color (Tri-Color)",3,10,13,unknown,,,,,https://accuris-usa.com/Products/smartcheck-protein-markers/,"Accuris_PR5000TC_Manual.pdf, Accuris_PR5000_series_Brochure.pdf"
Accuris,accuris-usa.com,SmartCheck™ Tri-Color Extended Range Plus Protein Marker,PR5013-TC (2 × 250 µl),"Prestained, three-color (Tri-Color)",4,15,13,unknown,,,,,https://accuris-usa.com/Products/smartcheck-protein-markers/,"Accuris_PR5000TC_Manual.pdf, Accuris_PR5000_series_Brochure.pdf"
Accuris,accuris-usa.com,SmartCheck™ Tri-Color Extended Range Plus Protein Marker,PR5013-TC (2 × 250 µl),"Prestained, three-color (Tri-Color)",5,25,13,unknown,,,,,https://accuris-usa.com/Products/smartcheck-protein-markers/,"Accuris_PR5000TC_Manual.pdf, Accuris_PR5000_series_Brochure.pdf"
Accuris,accuris-usa.com,SmartCheck™ Tri-Color Extended Range Plus Protein Marker,PR5013-TC (2 × 250 µl),"Prestained, three-color (Tri-Color)",6,35,13,unknown,,,,,https://accuris-usa.com/Products/smartcheck-protein-markers/,"Accuris_PR5000TC_Manual.pdf, Accuris_PR5000_series_Brochure.pdf"
Accuris,accuris-usa.com,SmartCheck™ Tri-Color Extended Range Plus Protein Marker,PR5013-TC (2 × 250 µl),"Prestained, three-color (Tri-Color)",7,40,13,unknown,,,,,https://accuris-usa.com/Products/smartcheck-protein-markers/,"Accuris_PR5000TC_Manual.pdf, Accuris_PR5000_series_Brochure.pdf"
Accuris,accuris-usa.com,SmartCheck™ Tri-Color Extended Range Plus Protein Marker,PR5013-TC (2 × 250 µl),"Prestained, three-color (Tri-Color)",8,55,13,unknown,,,,,https://accuris-usa.com/Products/smartcheck-protein-markers/,"Accuris_PR5000TC_Manual.pdf, Accuris_PR5000_series_Brochure.pdf"
Accuris,accuris-usa.com,SmartCheck™ Tri-Color Extended Range Plus Protein Marker,PR5013-TC (2 × 250 µl),"Prestained, three-color (Tri-Color)",9,70,13,unknown,,,,,https://accuris-usa.com/Products/smartcheck-protein-markers/,"Accuris_PR5000TC_Manual.pdf, Accuris_PR5000_series_Brochure.pdf"
Accuris,accuris-usa.com,SmartCheck™ Tri-Color Extended Range Plus Protein Marker,PR5013-TC (2 × 250 µl),"Prestained, three-color (Tri-Color)",10,100,13,unknown,,,,,https://accuris-usa.com/Products/smartcheck-protein-markers/,"Accuris_PR5000TC_Manual.pdf, Accuris_PR5000_series_Brochure.pdf"
Accuris,accuris-usa.com,SmartCheck™ Tri-Color Extended Range Plus Protein Marker,PR5013-TC (2 × 250 µl),"Prestained, three-color (Tri-Color)",11,130,13,unknown,,,,,https://accuris-usa.com/Products/smartcheck-protein-markers/,"Accuris_PR5000TC_Manual.pdf, Accuris_PR5000_series_Brochure.pdf"
