Supplier,Domain,Product Name,Catalog #,Type,Bands,Sizes (kDa),Product URL,PDF
Accuris,accuris-usa.com,SmartCheck™ Tri-Color Extended Range Plus Protein Marker,PR5013-TC (2 × 250 µl),"Prestained, three-color (Tri-Color)",13,"Range 5–245 kDa (Tris-Glycine; 3.5–235 kDa in Bis-Tris). Reference bands: green at 25 kDa, red at 75 kDa; remaining bands blue.",https://accuris-usa.com/Products/smartcheck-protein-markers/,"Accuris_PR5000TC_Manual.pdf, Accuris_PR5000_series_Brochure.pdf"
Accuris,accuris-usa.com,SmartCheck™ Tri-Color Extended Range Protein Marker,PR5012-TC (2 × 250 µl),"Prestained, three-color (Tri-Color)",12,"Range 9–245 kDa. Reference bands: green at 25 kDa, red at 75 kDa; remaining bands blue.",https://accuris-usa.com/Products/smartcheck-protein-markers/,"Accuris_PR5000TC_Manual.pdf, Accuris_PR5000_series_Brochure.pdf"
Accuris,accuris-usa.com,SmartCheck™ Tri-Color Protein Marker,PR5010-TC (2 × 250 µl),"Prestained, three-color (Tri-Color)",10,"Range 9–180 kDa. Reference bands: green at 25 kDa, red at 75 kDa; remaining bands blue.",https://accuris-usa.com/Products/smartcheck-protein-markers/,"Accuris_PR5000TC_Manual.pdf, Accuris_PR5000_series_Brochure.pdf"
Accuris,accuris-usa.com,SmartCheck™ All Blue Regular Range Plus Protein Marker,PR5011-BL (2 × 250 µl),"Prestained, single blue chromophore",11,Range 9–180 kDa. Two enhanced-intensity reference bands at 25 kDa and 72 kDa.,https://accuris-usa.com/Products/smartcheck-protein-markers/,Accuris_PR5000_series_Brochure.pdf
Accuris,accuris-usa.com,SmartCheck™ All Blue Regular Range Protein Marker,PR5010-BL (2 × 250 µl),"Prestained, single blue chromophore",10,Range 9–180 kDa. Two enhanced-intensity reference bands at 25 kDa and 72 kDa.,https://accuris-usa.com/Products/smartcheck-protein-markers/,Accuris_PR5000_series_Brochure.pdf
Azura-Genomics,azuragenomics.com,PureView™ Prestained Protein Ladder,"AZ-1141 (1 × 500 µl), AZ-1142 (2 × 500 µl), AZ-1142-2 (4 × 500 µl)","Ready-to-use prestained protein ladder, three-color (tricolor) protein standard",13,"Range 5–245 kDa in Tris-Glycine buffer (3.5–235 kDa in Bis-Tris MOPS/MES). Two reference bands: green at 25 kDa, red at 75 kDa; remaining 11 bands blue. (Per-band masses in Table 1 of the manual — migration-chart table across buffer systems.)",https://www.azuragenomics.com/products/pureview-prestained-protein-ladder,"Azura_PureView_AZ1141_manual.pdf, Azura_ladders_product_sheet.pdf"
Bio-Rad,https://www.bio-rad.com,Precision Plus Protein All Blue Standards,1610373 (also 1610374 value pack / 1610393 mini-pack family),Prestained (All Blue; 10 blue-stained recombinant proteins),"10 (range 10–250 kDa; reference bands at 25, 50, 75 kDa)","10, 15, 20, 25, 37, 50, 75, 100, 150, 250",https://www.bio-rad.com/en-us/sku/1610373-precision-plus-protein-all-blue-standards,pdfs/BioRad_AllBlue_1610373_manual.pdf ✓ (downloaded via browser)
Bio-Rad,https://www.bio-rad.com,Precision Plus Protein Dual Color Standards,1610374,Prestained Dual Color (8 blue + 2 pink reference bands),10 (range 10–250 kDa),"10, 15, 20, 25, 37, 50, 75, 100, 150, 250 (pink references at 25 & 75 kDa)",https://www.bio-rad.com/en-us/sku/1610374-precision-plus-protein-dual-color-standards,- Instruction Manual https://www.bio-rad.com/webroot/web/pdf/lsr/literature/4110025.pdf (403 — not saved)
Bio-Rad,https://www.bio-rad.com,Precision Plus Protein Unstained Standards (Strep-tagged),1610363,"Unstained (recombinant, Strep-tag affinity handle)","10 (range 10–250 kDa; reference bands at 25, 50, 75 kDa)","10, 15, 20, 25, 37, 50, 75, 100, 150, 250",https://www.bio-rad.com/en-us/sku/1610363-precision-plus-protein-unstained-standards,- Instruction Manual https://www.bio-rad.com/webroot/web/pdf/lsr/literature/Bulletin_4110023.pdf (403 — not saved)
Bio-Rad,https://www.bio-rad.com,Precision Plus Protein WesternC Blotting Standards,1610376,Western blotting standard (combination of stained Dual Color + unstained Strep-tag proteins; for chemiluminescent/fluorescent western visualization with StrepTactin-HRP),"10 (range 10–250 kDa; three pink reference bands at 25, 50, 75 kDa)","10, 15, 20, 25, 37, 50, 75, 100, 150, 250",https://www.bio-rad.com/en-us/sku/1610376-precision-plus-protein-westernc-standards,- Instruction Manual (standards) https://www.bio-rad.com/webroot/web/pdf/lsr/literature/10008761.pdf (403 — not saved)
Bio-Rad,https://www.bio-rad.com,Precision Plus Protein Kaleidoscope Standards,1610395 (value pack; also 1610393 single),Prestained Kaleidoscope (multicolored recombinant proteins),10,"10, 15, 20, 25, 37, 50, 75, 100, 150, 250",https://www.bio-rad.com/en-us/sku/1610395-precision-plus-protein-kaleidoscope-prestained-standards,Instruction Manual https://www.bio-rad.com/webroot/web/pdf/lsr/literature/4110182.pdf (403 — not saved)
Bio-Rad,https://www.bio-rad.com,"Silver Stain SDS-PAGE Standards (Low Range), natural",1610314,Unstained natural proteins (for silver stain / Coomassie; broad-use SDS-PAGE),6,"range 14.4–97.4 (commonly 14.4, 21.5, 31, 45, 66.2, 97.4 — natural bovine proteins; intermediate exact values not enumerated on page)",https://www.bio-rad.com/en-us/sku/1610314,not enumerated
Bioneer,bioneer.com (English catalog: eng.bioneer.com / US shop: us.bioneer.com),AccuLadder™ 3-color Prestained Protein size marker (Broad),D-2030 (500 µl),"Prestained, three-color (25 kDa = green, 75 kDa = red, other 10 bands blue)",12,range 11–245 kDa (exact 12-band ladder is image-based; reference bands documented at 25 kDa green and 75 kDa red),https://eng.bioneer.com/20-d-2030.html,Bioneer_D2030_manual.pdf (https://eng.bioneer.com/literatures/manual/LaddersandMarkers/PM_Prestained_protein_marker_EN.pdf)
Biotium,biotium.com,Peacock™ Prestained Protein Marker,"21530-50uL (50 µl), 21530-500uL (500 µl)","Prestained, three-color protein ladder",10 (8 blue bands + orange reference + green reference),"Range 10–180 kDa. Reference bands: orange at ~75 kDa (also labeled ~72 kDa on some gels), green at 25 kDa. (Individual blue band masses shown in migration chart Figure 1 of PI PDF.)",https://biotium.com/product/peacock-prestained-protein-marker/,- PDF: Biotium_Peacock_21530_PI.pdf
Biotium,biotium.com,Peacock™ Plus Prestained Protein Marker,"21531-50uL (50 µl), 21531-500uL (500 µl)","Prestained, three-color protein ladder",12 (10 blue bands + orange reference + green reference),"Range 8–245 kDa. Reference bands: orange at ~75 kDa, green at 25 kDa. (Individual blue band masses shown in migration chart Figure 1 of PI PDF.)",https://biotium.com/product/peacock-plus-prestained-protein-marker/,- PDF: Biotium_PeacockPlus_21531_PI.pdf
Biozym,biozym.com,TriColor Protein Ladder (10 - 180 kDa),350900201,Prestained (tricolor),10,"10-180 (reference bands approx. 25, 75)",https://www.biozym.com/biochemikalien/proteinbiologie/protein-marker/tricolor-protein-ladder-10-180-kda,
Biozym,biozym.com,TriColor Broad Protein Ladder (3.5 - 245 kDa),350900101,Prestained (tricolor),13,"3.5-245 (reference bands approx. 25, 75)",https://www.biozym.com/biochemikalien/proteinbiologie/protein-marker/tricolor-broad-protein-ladder-3.5-245-kda,
Biozym,biozym.com,ProSieve QuadColor Protein Marker (4.6 - 300 kDa),830537 (Biozym) / 00191770 (Lonza),Prestained (quadcolor),11,4.6-300,https://www.biozym.com/biochemikalien/proteinbiologie/protein-marker/prosieve-quadcolor-protein-marker-4.6-300-kda,
Carl_Roth,carlroth.com,PiNK Plus Prestained Protein Ladder,**1GG5.1**,"**Prestained, multicolor** (pink/blue multicolor)","**11 bands**, range **10–175 kDa**","blue-stained reference bands at ~10, 40 and 90 kDa (full per-band",https://www.carlroth.com/com/en/protein-markers-prestained/pink-plus-prestained-protein-ladder/p/1gg5.1,`CarlRoth_PinkPlus_1GG5_Spec.pdf`
